flow,out,speed
376,26,16.5
382,41,20.5
369,38,20.25
397,26,24.75
397,37,18.0
427,30,23.75
416,38,21.75
346,36,16.0
371,28,19.25
430,31,23.25
374,32,18.25
350,27,15.0
345,39,14.5
348,49,15.25
375,38,18.5
412,36,23.25
358,31,15.75
362,28,16.5
357,35,17.25
286,40,11.0
278,45,10.0
304,40,12.0
338,33,14.25
409,28,22.0
399,43,21.5
314,32,15.25
382,45,23.0
386,38,18.5
331,40,15.25
388,50,21.75
338,40,18.75
366,29,23.0
349,32,16.5
316,53,16.75
309,34,13.5
372,56,21.0
327,39,16.5
319,33,14.25
350,51,16.75
333,40,16.75
344,57,16.75
325,47,15.75
346,42,16.0
350,43,17.25
346,41,15.75
361,38,17.5
341,49,15.25
343,53,15.0
